level,category,title,author,desc,img,link
Lv.0,,현자 나탄,고트홀트 레싱,"시민 비극의 창조자, 독일 근대 희곡의 아버지로 칭송되는 레싱의 대표작. 기독교인에게 몰살당해 일곱 자식을 잃고도 기독교인의 아이를 양녀로 받아들여 정성을 다해 기르는 나탄. 그는 모진 시련을 겪었지만 특정 종파나 민족을 초월해 인간성과 사랑을 실천하며 살아가야 함을 주장한다. 민족적·종교적 분쟁이 끊임없이 발생하고 있는 지금 이 시대에, 이 작품이 제시하는 인도주의와 관용의 정신에 우리는 주목해야 한다.",현자 나탄.jpg,/Lessing/?idx=361
Lv.1,가족,빈손으로 가는 인생,"조지 코프먼, 모스 하트","1936년 브로드웨이 초연 당시 837회 공연이라는 흥행 기록을 보유한 대중성 높은 미국 드라마다. 영화로도 제작되어 우리나라에선 [우리들의 낙원]이란 제목으로 개봉했다. 극본은 퓰리처상을, 영화는 아카데미상을 수상하며 작품성을 인정받았다.",빈손으로 가는 인생.jpg,/social_problem/?idx=114
Lv.1,인간관계,무대 게임,빅토르 아임,극작가 겸 연출가 제르트뤼드와 여배우 오르탕스가 공연 연습 첫날 무대에서 만나 서로에 대한 칭찬과 감탄으로 대화를 시작한다. 그러나 이내 다정했던 대화에 금이 가기 시작하고 두 사람은 서서히 맹수처럼 서로를 할퀴고 물어뜯는다. 작가 빅토르 아임에게 2003년 몰리에르 최우수극작가상을 안겨 준 풍자 코미디 극이다.,무대 게임.jpg,/Haim/?idx=173
Lv.1,사랑,로미오와 줄리엣,윌리엄 셰익스피어,이탈리아어로 된 포르토의 작품을 페인터가 ‘쾌락의 궁전’이라는 제목으로 영역해 출판했다. 13세기부터 전해 내려오는 반목하는 원수 가문의 연인 이야기가 셰익스피어 손에서 ＜로미오와 줄리엣＞이라는 불멸의 고전으로 재탄생했다.,로미오와 줄리엣.jpg,/Shakespeare/?idx=238
Lv.1,직업,굿 닥터,닐 사이먼,"＜굿 닥터＞는 닐 사이먼이 체호프에 대한 존경을 담아 그의 가장 유명한 단편들 중 일부를 유머러스하게 각색한 옴니버스극이다. 1973년 초연되었다. 복잡한 인간관계의 본질, 일상에서 마주하게 되는 다양한 감정과 경험을 코믹하게 탐구하고 있다.",굿 닥터.jpg,/Simon/?idx=102
Lv.1,정체성,안티고네,소포클레스,소포클레스의 ‘오이디푸스 3부작’의 마지막을 장식하는 그리스 비극의 대표작이다. 신법과 국법의 양극단에서 대립하는 인물들이 가혹한 운명으로 인해 고통을 받고 오만함으로 인해 파멸한다. 인간이 어찌할 수 없는 불가해한 힘이 인간의 한계와 비극적인 모습을 적나라하게 드러낸다. 삶의 비극적인 모습에 대한 시대를 뛰어넘는 통찰은 우리 자신을 비추는 거울이 될 것이다.,안티고네.jpg,/family/?idx=36
Lv.1,사회문제,천국으로 가는 길,후안 마요르가,스페인 극작가 후안 마요르가의 희곡이다. 마요르가는 서문에서 우리에게 제2차 세계대전 당시 유대인 학살을 감행했던 포로수용소를 소재로 한 이 작품을 통해 ‘문명과 야만 사이의 동맹’에 대해 성찰하고 ‘연극의 부정확한 힘’을 느껴 보라고 말한다.,천국으로 가는 길.jpg,/social_problem/?idx=204
Lv.2,가족,지평선 너머,유진 오닐,"유진 오닐에게 첫 퓰리처상 수상을 안긴 작품이다. 메이오가의 성향이 다른 두 형제 로버트와 앤드루, 그리고 이들과 삼각관계로 얽히게 되는 루스라는 여인의 굴곡진 삶을 그렸다. 순리를 거스른 삶의 비극적 말로를 보여 준다. 사실주의 경향이 농후한 이 작품은 유진 오닐 후기의 원숙한 비극으로 발전할 씨앗을 배태하고 있다는 평가를 받는다.",지평선 너머.jpg,/family/?idx=111
Lv.2,인간관계,벚나무 동산,안톤 파블로비치 체호프,체호프의 4대 희곡의 하나이자 그의 마지막 작품. 삶과 현실의 문제를 보다 예술적-미학적으로 그리고 있다. 또한 우리는 이 작품을 통해 19세기 말의 리얼리즘과 20세기 초의 모더니즘이라는 두 개의 문화 패러다임의 접점에서 생겨난 동시대의 새로운 사상적-미학적 상황도 감지할 수 있다.,벚나무 동산.jpg,/community/?idx=631
Lv.2,사랑,아무것도 아닌 일로,나탈리 사로트,"나탈리 사로트가 “트로피즘”으로 명명한 작가 특유의 문학적 개성이 잘 드러난 작품. 사소한 언쟁이 계기가 되어 점점 두 남자 내면의 감정이 폭발해 가기 시작한다. 누보로망 양식의 선구자이자 현대 프랑스 연극사에서 가장 혁신적이고 탁월한 극작가로 평가되는 사로트는 야스미나 레자, 플로리앙 젤레르 등에게 영향을 미쳤다.",아무것도 아닌 일로.jpg,/171/?idx=213
Lv.2,직업,리어 왕,윌리엄 셰익스피어,"셰익스피어는 개인의 문제부터 가정, 국가, 그리고 자연과 운명이라는 문제, 그리고 청년에서 노년에 이르기까지 인생 전반에 대한 문제 등 문학 작품들에서 다룰 수 있는 광범위한 주제를 한 작품 속에 집약하고 있다. 따라서 시적 표현의 탁월함뿐 아니라 주제의 폭에서 <리어 왕>은 셰익스피어의 4대 비극 중 가장 심오하고 진지한 세계를 그려내고 있다.",리어 왕.jpg,/Shakespeare/?idx=252
Lv.2,정체성,오이디푸스 왕,소포클레스,테베에 역병이 돈다. 테베 왕 오이디푸스에게 선대왕 라이오스 살해자를 테베 땅에서 추방하라는 신탁이 전해진다. 그로부터 오이디푸스가 짊어져야 할 비극적 운명의 실체가 드러난다.,오이디푸스 왕.jpg,/family/?idx=37
Lv.2,사회문제,쇄골에 천사가 잠들고 있다,핑크 지저인 3호,"산 자와 죽은 자가 과거와 현재를 넘나들며 상처를 나누고 서로를 이해해 가는 과정을 그린 청춘 군상극이다. 현재 일본에서 가장 주목받는 극작가 핑크 지저인 3호는 이 작품으로 일본극작가협회에서 수여하는 신인희곡상을 수상했다. 일상적인 장면 속에서 세상의 비주류로 낙인찍힌 사람들, 쉽게 비정상으로 치부되는 존재들과 그들의 ‘마이너리티’에 대해 이야기한다. 전쟁, 죽음, 사랑, 폭력을 다루며 죽은 자를 기억하고 이야기하는 것은 산 자의 몫이라는 메시지를 담담하게 전한다.",쇄골에 천사가 잠들고 있다.jpg,/social_problem/?idx=751
Lv.3,가족,화염,와즈디 무아와드,"레바논 태생 퀘벡 작가인 와즈디 무아와드가 10여 년에 걸쳐 쓴 4부작 비극 중 두 번째 작품으로 2003년에 완성되었다. 1970∼1990년대 레바논 내전의 상처를 중심으로 전반적인 스토리가 전개되고 있으며, 비극적인 운명의 실타래를 풀어야 하는 한 가족의 뿌리와 정체성에 관한 질문으로 휴머니즘의 보편성에 대해 성찰하게 한다. 2010년 부산국제영화제에서 ‘그을린 사랑’이라는 제목으로 개봉해 화제를 불러일으켰으며, 2012년에는 원작인 연극으로도 국내 소개되었다.",화염.jpg,/Mouawad/?idx=217
Lv.3,인간관계,시골에서의 한 달,이반 세르게예비치 투르게네프,투르게네프의 희극 〈시골에서의 한 달〉은 지루한 일상이 반복되는 한적한 시골 귀족 저택에 젊은 가정교사 벨랴예프가 나타나면서 벌어지는 사랑과 감정의 유희를 그린다. 엇갈린 짝사랑과 오해로 가득한 이 드라마는 현실의 변화보다 감정의 소동에 가깝다. 작가의 자전적 경험이 녹아 있는 이 작품은 체호프에 앞선 러시아 리얼리즘 희곡의 중요한 전범이다.,시골에서의 한 달.jpg,/community/?idx=745
Lv.3,사랑,페드르,장 라신,"금지된 정념과 합리적 이성의 절묘한 이중창. 아리스토텔레스가 비극의 주인공에게 요구하는 모든 장점을 가진 인물, 오직 신의 분노에 의해 부적절한 정념에 빠져든 인물. '페드르'는 프랑스 고전 비극의 정수다.",페드르.jpg,/Rachin/?idx=156
Lv.3,직업,인형의 집,헨리크 입센,"《인형의 집》은 1879년 초연 이후 격한 논란에 휩싸임과 동시에 페미니즘 문학의 시초라는 타이틀을 거머쥔다. 입센은 이 작품으로 세계적 작가로 부상했다. 1925년 한국 초연 이후 100년간 수없이 번역, 공연되었던 작품을 다시 번역하면서 무엇보다 원전에 충실하고자 했다. 크고 작은 오류와 왜곡을 바로잡고 마주한 《인형의 집》으로부터 고전의 진짜 힘과 가치를 온전히 실감하게 될 것이다.",인형의 집.jpg,/social_problem/?idx=718
Lv.3,정체성,햄릿,윌리엄 셰익스피어,"셰익스피어 비극은 개인과 그를 둘러싼 사회나 운명의 대립을 다루고 있기도 하지만, 개인 내면에서 진행되는 도덕적 갈등이 본질적이다. 이러한 갈등 구조에서 인물의 성격과 극단적인 행동은 그를 파국으로 이끄는 숙명적인 힘으로 작용한다. 그의 대표 비극이다.",햄릿.jpg,/Shakespeare/?idx=257
Lv.3,사회문제,왕은 죽어가다,외젠 이오네스코,"인간의 죽음과 그 수용 과정을 다룬 부조리극으로, 왕 베랑제 1세가 죽음을 선고받고 이를 부정하다 점차 받아들이는 과정을 그린다. 이오네스코는 독특한 연극적 수법을 동원해 죽음을 거부하고 다시 받아들이는 서사를 나선형 구조로 전개해 나가며 극에 유기적 생명력을 부여했다. 베랑제 연작 중 하나다.",왕은 죽어가다.jpg,/315/?idx=742
Lv.4,가족,상복이 어울리는 엘렉트라,유진 오닐,"""인생을 불행하게 만드는 불가해한 힘""을 밝혀내려는 유진 오닐의 집념이 가장 강렬하게 발휘된 작품 중 하나다. 아이스킬로스의 <오레스테이아>를 전후 미국을 배경으로 한 가족 서사로 각색했다. 저주가 내린 듯 음산한 분위기의 저택에서 매넌가 사람들은 끊임없는 불행에 시달린다. 근친상간과 친족 살해라는 죄에 내려진 형벌이다.",상복이 어울리는 엘렉트라.jpg,/family/?idx=110
Lv.4,인간관계,폭력 시대,줄스 파이퍼,줄스 파이퍼의 ＜폭력 시대＞는 1967년 초연된 블랙 코미디다. 당시 미국적 가치에 대한 풍자로 가득하다. 극은 정신없이 미쳐 돌아가는 세상에서 함께 삶을 꿈꿨던 젊은 연인 팻시와 앨프리드의 이야기를 중심으로 전개된다. 1960년대 후반 사회 정치적 이슈를 다룬 인상적인 작품으로 평가된다.,폭력 시대.jpg,/social_problem/?idx=117
Lv.4,사랑,헤다 가블레르,헨리크 입센,유력 귀족 집안 출신인 헤다 가블레르는 뭇 남성들의 구애를 뿌리치고 성실한 학자 테스만과 결혼한다. 안정된 가정을 꾸렸지만 그녀는 결혼 생활에 지루함을 느낀다. 그런 그녀 앞에 테스만의 경쟁자이자 과거 연인이었던 뢰브보르그가 나타난다. 입센의 중기 작품으로 작가의 성숙한 작품 세계를 확인할 수 있다.,헤다 가블레르.jpg,/Ibsen/?idx=348
Lv.4,직업,발렌슈타인,프리드리히 폰 실러,"실러가 9년 만에 집필을 재개해 3년 만에 완성한 3부작 드라마다. 방대한 사료적 지식을 바탕으로 거대한 역사적 인물 ‘발렌슈타인’을 비극의 주인공으로 무대 위에서 입체감 있게 되살려 낸 대작이다. 이는 독일 문학사에서 처음 이루어진 쾌거였으며, 이 작품을 통해 실러는 자신의 본령인 희곡 작가로 복귀하는 데 성공했다. 이것은 소위 시민 비극과는 차원이 다른 역사 비극으로, 그리스 비극이나 셰익스피어 비극과 비견할 수 있는 희곡이 독일 작가에 의해 처음으로 창작된 것이다.",발렌슈타인.jpg,/Schiller/?idx=437
Lv.4,정체성,리처드 3세,윌리엄 셰익스피어,"강력했던 군주 헨리 5세 사후, 그의 유약한 아들 헨리 6세의 통치하에 있던 15세기 영국은 왕가인 랭커스터 가문과 그 친척이자 경쟁자였던 요크 가문의 권력투쟁으로 삼십여 년의 내란을 겪는다. 두 가문이 각각 붉은 장미와 흰 장미를 문장으로 했던 까닭에 이 내란을 ‘장미전쟁’이라 한다. 셰익스피어가 영국사의 이 기간을 연대기적으로 극화한 작품은 그의 출세작으로 간주되는 ≪헨리 6세 3부작≫이다. 이어서 발표된 작품이 바로 ≪리처드 3세≫이다. 이 극은 에드워드 4세의 짧은 통치 이후 왕위에 오른 그의 동생 리처드 3세 때의 이야기이다. 이 시기 영국은 귀족들의 반란으로 다시 내란에 휩싸였고, 결국 랭커스터 가의 외척이자 튜더 왕조의 시조가 된 리치먼드 백작 헨리 튜더에 의해 평정되었다.",리처드 3세.jpg,/history/?idx=237
Lv.4,사회문제,타르튀프,몰리에르,"루이 14세의 비호 아래 승승장구하던 몰리에르는 문제작 <타르튀프>로 인해 연극 인생 최대 고비를 맞는다. 종교인의 위선을 대담하게 비판하고 나선 이 작품에 교회와 성직자들이 거센 비난을 퍼부었고 이후 <타르튀프>의 공연은 한동안 금지되었다. 수년 만에 겨우 다시 무대에 오른 <타르튀프>는 엄청난 성공을 거두었으며, 이후 주인공의 이름이기도 한 ‘타르튀프’는 프랑스어에서 '위선자'를 뜻하는 일반명사가 되었다.",타르튀프.jpg,/Moliere/?idx=177
Lv.5,가족,매달린 집,미셸 트랑블레,퀘벡프랑스어를 사용하는 작가 중 가장 위대한 작가로 정평이 나 있는 미셸 트랑블레의 희곡. 파브르 거리를 배경으로 어린 시절 함께했던 친척과 이웃들을 작품에 등장시킨 일련의 작품 ‘르 플라토 시리즈’의 하나다. 앞선 작품들에서 펼쳐지던 인물 간의 증오와 갈등이 이 작품에 이르러 화해 양상을 보인다. 유머가 가득하고 시적인 문체가 특징이다.,매달린 집.jpg,/family/?idx=303
Lv.5,인간관계,비평가 / 눈송이의 유언,후안 마요르가,"극작가와 비평가가 연극과 예술에 대해 이야기한다. 그런데 이들이 나누는 대화가 꼭 권투 시합 같다. 공격과 방어가 오가고 상대를 녹아웃시킬 결정적 한 방이 준비된다. 후안 마요르가의 2012년 작 ＜비평가＞ 얘기다. ＜눈송이의 유언＞은 한때 바르셀로나의 상징이었던 흰색 고릴라 ‘눈송이’의 임종 순간을 그린 우화극이다. 2008년 초연되었다. 함께 수록된 작가 인터뷰에서 “연극은 독자, 관객에게 생각할 거리를 던져 줄 수 있어야 한다”고 말해 온 후안 마요르가의 연극관을 확인할 수 있다.",비평가.jpg,/art/?idx=513
Lv.5,사랑,3cm,조태준,"희곡<3cm>는 화가 석현과 바이올리니스트 지연이 우연히 만나 교감하고 정서적 거리를 좁혀 가는 과정을 그린다. 짧게만 느껴지는 물리적 거리 ‘3cm’는 정서적 거리로 환원되었을 때 영원히 닿지 않을 듯한 아쉬움의 거리로 다가온다. ‘3cm’는 살면서 닿고자 했던 무언가로부터 끊임없이 미끄러져 내리며 느끼게 되는 거리감을 상징한다. 어떤 땐 꿈과 이상이, 어떤 땐 연인이 그 정도 거리를 두고 스쳐 지나간다. 그보다 자주, 삶의 동기와 과정, 생각과 행동이 서로 만나지 못한 채 어긋난다. ‘3cm’는 이 모든 어긋남으로 이루어진 삶에 대한 은유이기도 하다. 작가의 개인적 경험들이 직조되어 탄생한 이 작품은 초연 때 25일간 전 회 전석 매진으로 공연성을 인정받았다. 그 성과를 바탕으로 2010년 한국문화예술위원회 사후 지원작에 선정되기도 했다.",3cm.jpg,/Republic_of_Korea/?idx=62
Lv.5,직업,막베트,외젠 이오네스코,"이오네스코는 셰익스피어의 비극 ＜멕베스＞를 희극성 강한 부조리극으로 각색했다. 권력의 본질을 드러내 보여 주면서 배경을 특정 시기와 장소로 한정하지 않고, 압제와 폭정의 정치체제를 풍자한 작품이다.",막베트.jpg,/god_and_human/?idx=158
Lv.5,정체성,변신,팔로마 페드레로,지금 스페인에서 가장 주목받는 여성 작가는 단연 팔로마 페드레로다. 도전적인 주제로 남성 엘리트 중심의 스페인 연극계를 도발해 왔다. 두 편의 희곡집으로 한국에 소개됐다. 최신 장편 희곡을 한국어로 처음 출판한다. 트랜스젠더 소년들의 우정과 연대의 드라마다. 작가 스스로 “가장 만족한 작품”이라고 평한다.,변신.jpg,/love/?idx=195
Lv.5,사회문제,머릿속의 새들,팔로마 페드레로,"팔로마 페드레로는 현재 스페인에서 가장 중요하고 혁신적인 극작가다. ≪머릿속의 새들≫은 ≪밤의 유희≫에 이은 그녀의 두 번째 희곡집이다. 젠더와 섹슈얼리티 주제에 집중되어 있던 그녀의 관심은 두 번째 희곡집에서 인종 차별, 세대 갈등, 테러리즘, 폭력 등 좀 더 다양한 사회적 이슈들로 확장된다. 팔로마 페드레로가 특유의 미니멀한 무대와 대사를 통해 재현한 일상의 순간들은 익숙하면서도 낯설다. 평범한 공간, 보통의 대화 가운데 도사리고 있던 현대 사회 문제들을 부각해 보여 주기 때문이다. 작품별 서문에서 작가가 직접 창작의 첫 아이디어와 결말에 담긴 메시지를 밝혔다.",머릿속의 새들.jpg,/Pedrero/?idx=505